swami and friends,4.0
tender is the night,1.16666666667
the aesthetic page,3.0
the blue umbrella,3.5
the calcutta chromosome,1.0
the creative journal,3.4
the cricket on the hearth,1.7
the daffodil sky,3.0
the dragon masters,5.5
the eye of the heron,4.0
the female man,-1.0
the great indian novel,2.9
the guide,-2.0
the house of mirth,2.875
the hungry tide,0.0
the immortals,-0.7
the inheritance of loss ,2.25
the journal book,-1.7
the lost planet ,2.25
the new diary,0.0
the palace of illusions,0.0
the private life of the diary,3.0
the secret of the nagas,0.5
the void captain's tale,0.0
the waste land,-3.375
the white tiger ,1.6
the wives of bath,-0.1
to a god unknown,0.0
to your scattered bodies go,-0.5
train to pakistan,-0.2
under the green star,3.16666666667
write for life,0.0
